Model,Condition,Seed,Acc,Recall,Precision,F1,FPR
RandomForest,Clean,42,0.7704488999290277,0.6183277487726954,0.9662688748173405,0.7540983606557377,0.028524353825558645
RandomForest,Stress,42,0.6501508161816891,0.47822021351203925,0.8374727074235808,0.6087991667080006,0.12264442384924312
Bi-ARL,Clean,42,0.7003637331440739,0.5510013247097327,0.8768601190476191,0.6767478585442886,0.10225517454433117
Bi-ARL,Stress,42,0.6738821859474805,0.6050027273435674,0.772767990444909,0.6786713286713286,0.23509422304603028
RandomForest,Clean,101,0.7704488999290277,0.6183277487726954,0.9662688748173405,0.7540983606557377,0.028524353825558645
RandomForest,Stress,101,0.6521025550035486,0.4758045663523728,0.8454721683744115,0.6089254549987534,0.11492122335495829
RandomForest,Clean,202,0.7704488999290277,0.6183277487726954,0.9662688748173405,0.7540983606557377,0.028524353825558645
RandomForest,Stress,202,0.6486426543647977,0.47206420945998595,0.8409217101610217,0.6046813395218845,0.11801050355267223
